,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
352,Workers' compensation benefits,$,2011,5334625000,17967000,60425000,169380000,347538000,534638000,600038000,602988000,555052000,475120000,413871000,308314000,250161000,330069000,200842000,130705000,86222000,164266000,64176000,22853000
353,Social assistance payments,$,2011,10746049000,284779000,2734188000,4713073000,1582492000,825433000,300036000,126916000,65210000,38728000,23729000,14552000,9080000,11009000,5701000,3346000,2138000,4009000,1140000,488000
354,Net federal supplements,$,2011,8873520000,51808000,308948000,2554986000,4657197000,870863000,218338000,91273000,45821000,23983000,12691000,8036000,5292000,7887000,4224000,2665000,1902000,4133000,2192000,1279000
355,Total income assessed,$,2011,1122019231000,3188976000,15033201000,31039424000,44057009000,43802485000,44888561000,51179816000,55900403000,58726323000,55039484000,52461099000,49146782000,90296348000,79565997000,66175116000,54341282000,131583054000,76926292000,118667577000
356,Registered pension plan contributions,$,2011,16947488000,7283000,11573000,25738000,49622000,97333000,173608000,315004000,532287000,698779000,832235000,929036000,998038000,2054849000,2221020000,2039244000,1872785000,2912998000,843215000,332841000
357,RRSP deduction,$,2011,32641865000,30317000,38876000,92372000,205507000,357268000,522020000,740650000,980969000,1189727000,1341608000,1428628000,1429913000,2834701000,2764184000,2530004000,2257692000,6861085000,4235146000,2801196000
358,Deduction for elected split-pension amount,$,2011,11463233000,759000,2280000,6011000,24181000,146762000,351486000,520011000,678694000,820000000,952867000,990457000,938213000,1520466000,1054304000,732843000,550514000,1330447000,565863000,277075000
359,"Annual union, professional, or like dues",$,2011,3878736000,14685000,27590000,42172000,53421000,73597000,101125000,142276000,195424000,222063000,239817000,251998000,255496000,493882000,484972000,387139000,306802000,448921000,106217000,31139000
360,Universal Child Care Benefit repayment,$,2011,7832000,2556000,1137000,1300000,757000,480000,288000,207000,188000,159000,122000,103000,64000,168000,96000,74000,41000,62000,27000,0
361,Child care expenses,$,2011,4412374000,31915000,83012000,143437000,203127000,264773000,311412000,347622000,367421000,350784000,319727000,285049000,251035000,400833000,307342000,220602000,158642000,245274000,88037000,32330000
362,Disability supports deductions,$,2011,6423000,20000,70000,197000,315000,433000,402000,434000,260000,203000,211000,195000,219000,474000,427000,193000,297000,676000,410000,987000
363,Business investment loss,$,2011,292797000,10308000,4417000,5850000,7451000,8011000,12390000,11824000,13500000,10488000,9378000,10335000,10060000,19082000,18438000,13933000,14194000,37900000,27490000,47748000
364,Moving expenses,$,2011,428947000,3238000,5731000,8247000,10853000,13333000,16739000,17392000,18535000,18441000,20811000,21244000,20711000,38631000,37371000,33931000,26658000,70541000,32937000,13602000
365,Support payments made,$,2011,1062770000,3121000,1490000,2779000,4551000,6693000,9776000,14088000,16983000,19576000,20433000,22797000,23479000,49636000,51751000,52131000,51130000,188754000,189445000,334156000
366,Carrying charges and interest expenses,$,2011,4758417000,38088000,28451000,44767000,66682000,91113000,102926000,117210000,128819000,142676000,145568000,144677000,139685000,272889000,263868000,232651000,205409000,658782000,582191000,1351963000
367,Deductions for CPP or QPP contributions on self-employment and other earnings,$,2011,1226213000,2110000,34230000,86015000,95996000,96173000,93206000,85638000,81077000,78174000,67850000,57782000,46988000,73645000,53232000,41104000,31037000,85964000,62218000,53773000
368,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,$,2011,32620000,235000,1155000,2563000,2691000,2518000,2279000,1931000,1671000,1459000,1300000,1196000,1088000,1863000,1392000,1103000,860000,2638000,2440000,2238000
369,Exploration and development expenses,$,2011,1619111000,16488000,1959000,1732000,1828000,2725000,2584000,3495000,4193000,6033000,7888000,9151000,10205000,24612000,28265000,31169000,33635000,153264000,222561000,1057323000
370,Other employment expenses,$,2011,4296199000,8755000,10277000,22605000,42556000,74134000,96828000,126484000,159247000,172419000,192265000,207824000,209862000,400442000,351557000,293226000,249735000,755239000,491373000,431370000
371,Clergy residence deduction,$,2011,359957000,153000,599000,1523000,2943000,5941000,10682000,16715000,20135000,24646000,28697000,30704000,34774000,62687000,43603000,27284000,16558000,25580000,5634000,1098000
372,Other deductions,$,2011,1993911000,18414000,18379000,31301000,42955000,46497000,47677000,49549000,48410000,44499000,42370000,40141000,37836000,69943000,63787000,59367000,55364000,226543000,297340000,753540000
373,Total deductions before adjustments,$,2011,85428891000,188447000,271226000,518610000,815439000,1287785000,1855429000,2510529000,3247813000,3800126000,4223147000,4431317000,4407668000,8318802000,7745610000,6695997000,5831353000,14004669000,7752544000,7522380000
374,Social benefits repayment,$,2011,1303701000,0,0,0,0,0,0,0,0,0,0,0,8358000,62875000,102835000,127923000,122654000,444327000,261837000,172868000
375,Net income after adjustments,$,2011,1036508060000,4052126000,14775508000,30533322000,43250842000,42526273000,43042604000,48679314000,52668073000,54931379000,50820037000,48033590000,44734075000,81922121000,71729933000,59356401000,48393329000,117144498000,68920842000,110993795000
376,Canadian Forces personnel and police deduction,$,2011,238523000,5000,23000,78000,48000,42000,54000,204000,470000,2272000,8382000,11429000,26090000,63303000,40290000,26564000,17149000,36089000,5116000,916000
377,Employee home relocation loan deduction,$,2011,276000,0,0,0,0,1000,1000,1000,1000,2000,1000,3000,11000,6000,8000,14000,14000,78000,83000,51000
378,Security options deductions,$,2011,2646491000,605000,184000,235000,494000,633000,711000,910000,1239000,1305000,1579000,2224000,2509000,5575000,6582000,8077000,9074000,65865000,167054000,2371638000
379,Other payments deductions,$,2011,24952201000,355145000,3103789000,7437557000,6587682000,2230990000,1118417000,821179000,666084000,537944000,450291000,331841000,264650000,348964000,210722000,136592000,90119000,171002000,65755000,23479000
380,Limited partnership losses of other years,$,2011,28963000,21000,0,0,13000,18000,132000,81000,158000,223000,126000,329000,299000,822000,1055000,777000,737000,3681000,2790000,17696000
381,Non-capital losses of other years,$,2011,348034000,3417000,2608000,6345000,14613000,18532000,19668000,18459000,17313000,14864000,13734000,10763000,9474000,16873000,12606000,9672000,8089000,25194000,22791000,103020000
382,Net capital losses of other years,$,2011,1550633000,3026000,4376000,8298000,14709000,22831000,27925000,34527000,38011000,42678000,43996000,44631000,44022000,88130000,82323000,71709000,65299000,223531000,212202000,478410000
383,Capital gains deduction,$,2011,4039391000,2370000,1167000,1777000,3883000,6390000,9082000,14741000,18408000,22743000,27580000,33144000,36476000,107033000,95800000,95592000,90295000,426767000,732420000,2313722000
384,Northern residents deductions,$,2011,867547000,1197000,4574000,14127000,28679000,35174000,36876000,39432000,37526000,38040000,37296000,36580000,35541000,70900000,67881000,65441000,59751000,170097000,74170000,14264000
385,Additional deductions,$,2011,1184462000,24041000,56292000,104024000,129912000,110463000,83000000,77106000,64635000,56608000,47197000,32338000,27083000,44137000,35944000,25850000,22414000,86479000,89539000,67401000
386,Farming/fishing losses of prior years,$,2011,136778000,1447000,1123000,2104000,7158000,5892000,6620000,7263000,7433000,6077000,5416000,5620000,5124000,10413000,7078000,5678000,5342000,15347000,12562000,19082000
387,Total deductions from net income,$,2011,35993300000,391273000,3174136000,7574549000,6787192000,2430965000,1302485000,1013902000,851280000,722756000,635597000,508902000,451279000,756157000,560290000,445966000,368283000,1224130000,1384481000,5409677000
388,Taxable income assessed,$,2011,1000625545000,3690570000,11613728000,22970598000,36481102000,40099986000,41745881000,47667652000,51818866000,54210086000,50185791000,47526450000,44283962000,81167960000,71171795000,58911737000,48026532000,115924601000,67541529000,105586721000
389,Basic personal amount,$,2011,275178479000,27525555000,20495160000,26088854000,26516767000,20554596000,17165475000,16559484000,15688435000,14557328000,12199857000,10520445000,8999055000,14658159000,11196097000,8208449000,6039795000,11638552000,4348408000,2218008000
390,Age amount,$,2011,28554314000,673657000,1105297000,3663373000,7167655000,4244196000,2752454000,2460903000,1905387000,1551027000,992820000,684700000,477566000,552727000,199381000,66101000,25973000,23164000,5487000,2448000
391,Spouse or common-law partner amount,$,2011,14788074000,1090158000,775491000,1135505000,1307146000,1224217000,961248000,857890000,774336000,683070000,597999000,536831000,480048000,833960000,706283000,571302000,454946000,1067639000,471009000,258996000
392,Amount for eligible dependant,$,2011,9611161000,729456000,839195000,1173948000,978020000,803981000,694593000,650626000,602623000,503855000,421204000,350475000,285727000,447168000,340871000,242391000,170840000,266268000,78336000,31585000
393,Amount for children 17 and under,$,2011,13826834000,717147000,550693000,790643000,790181000,757663000,731505000,753338000,765974000,734388000,684713000,638944000,587012000,1048689000,920482000,750331000,603075000,1229596000,499512000,272948000
394,Amount for infirm dependants age 18 or older,$,2011,44538000,920000,1141000,1695000,2458000,3284000,3098000,3130000,3239000,2870000,2771000,2573000,2058000,3412000,2825000,2104000,1511000,3325000,1383000,743000
395,CPP or QPP contributions through employment,$,2011,21594706000,44486000,136565000,343401000,550879000,786807000,992633000,1261068000,1520542000,1641986000,1659060000,1557603000,1387017000,2322831000,1891086000,1425445000,1074859000,2006387000,686514000,305539000
396,CPP or QPP contributions self-employment,$,2011,1226213000,2110000,34230000,86015000,95996000,96173000,93206000,85638000,81077000,78174000,67850000,57782000,46988000,73645000,53232000,41104000,31037000,85964000,62218000,53773000
397,Employment Insurance premiums,$,2011,7586608000,57403000,102689000,173602000,239730000,316702000,383627000,469902000,554378000,592577000,570064000,518260000,462232000,768955000,624677000,472374000,356355000,642125000,203217000,77739000
398,Employment Insurance premiums payable on self-employment,$,2011,1569000,8000,43000,99000,136000,148000,148000,147000,120000,120000,122000,93000,72000,112000,70000,46000,23000,44000,14000,0
399,PPIP premiums paid,$,2011,669765000,3874000,7777000,13766000,20070000,27334000,34591000,44592000,52370000,50761000,49240000,47334000,44079000,77250000,62712000,37901000,25960000,48393000,14910000,6853000
400,PPIP premiums payable on employment income,$,2011,21002000,61000,144000,265000,353000,435000,515000,638000,790000,969000,1178000,1350000,1502000,2895000,2410000,1930000,1542000,2987000,828000,209000
401,PPIP premiums payable on self-employment income,$,2011,42049000,305000,1488000,3299000,3466000,3241000,2936000,2488000,2155000,1883000,1676000,1541000,1403000,2403000,1796000,1423000,1109000,3400000,3150000,2886000
402,Volunteer firefighters' amount,$,2011,117049000,2416000,2322000,3237000,4745000,5670000,6936000,8256000,8979000,9139000,8853000,8031000,7122000,12069000,9093000,6315000,4830000,7605000,1242000,189000
403,Canada employment amount,$,2011,17771730000,794339000,1085687000,1187168000,1170361000,1185864000,1159074000,1180681000,1180329000,1107667000,979608000,865475000,755967000,1246412000,992475000,740251000,553281000,1044576000,368588000,173928000
404,Public transit amount,$,2011,1297549000,39543000,50434000,69172000,80071000,88702000,87516000,87826000,87734000,83341000,75688000,68446000,60799000,100671000,79801000,60706000,46152000,91198000,28435000,11313000
405,Children's fitness amount,$,2011,853993000,9380000,8197000,13485000,18494000,22931000,27146000,32114000,37122000,39746000,40923000,41390000,40514000,78689000,78283000,70426000,62722000,134668000,61371000,36392000
406,Children's arts amount,$,2011,240568000,2668000,2278000,3715000,5027000,6059000,7150000,8160000,9292000,9784000,10085000,10161000,10172000,20101000,21032000,19922000,18630000,42564000,20765000,13005000
407,Home buyers' amount,$,2011,846019000,7159000,5912000,11564000,21671000,36136000,50188000,65047000,75541000,77108000,72664000,68285000,60975000,96934000,66707000,43510000,27171000,45136000,11437000,2873000
408,Adoption expenses,$,2011,16188000,118000,81000,41000,172000,263000,343000,588000,707000,850000,796000,817000,831000,1758000,1675000,1277000,1236000,2750000,1302000,582000
409,Pension income amount,$,2011,8627170000,37496000,96084000,299345000,822986000,1121708000,873530000,855091000,760024000,741439000,536095000,422283000,343566000,534685000,334563000,220120000,145215000,295685000,121681000,65573000
410,Caregiver amount,$,2011,893383000,16706000,15072000,23548000,38766000,52567000,61083000,67930000,70266000,68025000,61117000,53922000,44905000,74824000,58462000,47494000,36212000,71132000,22509000,8843000
411,Disability amount,$,2011,4762689000,229033000,364472000,733349000,640407000,576009000,447796000,376169000,299942000,243830000,176309000,132298000,102925000,147225000,87809000,54273000,35702000,68839000,28100000,18202000
412,Disability amount transferred from a dependant,$,2011,2097888000,63443000,50567000,73689000,88980000,102494000,114285000,131168000,140217000,142912000,131581000,119804000,109681000,182270000,152877000,121556000,95229000,182044000,64962000,30129000
413,Interest paid on student loans,$,2011,315553000,1969000,1811000,5779000,13568000,19751000,24371000,28155000,29677000,28530000,25768000,23597000,20840000,34499000,22849000,12890000,7225000,10723000,2811000,741000
414,"Tuition, education, and textbook amounts",$,2011,8309458000,677000,2315000,250340000,1087346000,1228651000,1093402000,904351000,740628000,587397000,461914000,369647000,306964000,454527000,257488000,168787000,112286000,203740000,59483000,19512000
415,"Tuition, education, and textbook amounts transferred from a child",$,2011,3567448000,2284000,2181000,7000000,39637000,74625000,107029000,141548000,172401000,186625000,187996000,184865000,178336000,331128000,334971000,297532000,261916000,604700000,278720000,173953000
416,Amounts transferred from spouse or common-law partner,$,2011,5567786000,688226000,325531000,806991000,807973000,695985000,501797000,368338000,265974000,189957000,143555000,116589000,95332000,147460000,108755000,78836000,56903000,112768000,39191000,17625000
417,Medical expenses,$,2011,10528939000,99563000,208309000,406571000,921477000,1120003000,1051963000,1067546000,917058000,842369000,604928000,476674000,384106000,590540000,376216000,254323000,187152000,460273000,279051000,280818000
418,Total tax credits on personal amounts,$,2011,65843808000,4926024000,3940675000,5605419000,6515181000,5273429000,4414446000,4270922000,4012098000,3713659000,3114965000,2682032000,2294669000,3726900000,2847747000,2102867000,1565833000,3059437000,1164695000,612811000
419,Allowable charitable donations and government gifts,$,2011,9476263000,3676000,11766000,45835000,201792000,205257000,239697000,306637000,342536000,370645000,353793000,342854000,323943000,933956000,540170000,474731000,398343000,1092689000,807110000,2480831000
420,Eligible cultural and ecological gifts,$,2011,63648000,648000,24000,80000,266000,268000,5563000,381000,477000,685000,625000,806000,737000,1831000,1583000,1385000,1239000,4340000,6598000,36112000
421,Total tax credit on donations and gifts,$,2011,2499143000,732000,1811000,7240000,25363000,46171000,64061000,81281000,91325000,99360000,95183000,92742000,87903000,168150000,147599000,130275000,109540000,304233000,229431000,716742000
422,Total federal non-refundable tax credits,$,2011,68342952000,4926756000,3942486000,5612659000,6540544000,5319600000,4478507000,4352203000,4103422000,3813019000,3210148000,2774774000,2382572000,3895049000,2995346000,2233142000,1675373000,3363670000,1394126000,1329554000
423,Federal dividend tax credit,$,2011,7879500000,29000,51000,3978000,15627000,36779000,61571000,91386000,127496000,165803000,175375000,201823000,188752000,415252000,381543000,351658000,294897000,1116657000,1096105000,3154720000
424,Overseas employment tax credit,$,2011,77169000,0,0,3000,21000,36000,58000,126000,198000,335000,475000,658000,837000,2005000,2397000,3052000,3513000,22591000,28251000,12612000
425,Minimum tax carryover,$,2011,121796000,0,0,77000,411000,1006000,1728000,2418000,3056000,4122000,3700000,4486000,4179000,8783000,6781000,5419000,4330000,15961000,15912000,39426000
426,Basic federal tax,$,2011,117560137000,8400000,10675000,90353000,492154000,1152369000,1903427000,2792879000,3582503000,4213687000,4402327000,4627303000,4712484000,9514381000,9188916000,8115729000,7006807000,18804951000,12939440000,24001355000
427,Federal Foreign Tax Credit,$,2011,851281000,61000,105000,307000,1229000,2512000,3797000,5240000,7015000,8851000,10204000,11430000,12514000,27905000,30673000,30693000,29370000,120860000,143427000,405087000
428,Federal political contribution tax credit,$,2011,33250000,0,0,51000,216000,588000,869000,1220000,1456000,1709000,1614000,1574000,1565000,3071000,2580000,2160000,1804000,5141000,3530000,4102000
429,Investment tax credit,$,2011,118986000,0,0,56000,281000,469000,651000,813000,905000,1110000,1188000,1262000,1292000,2766000,2742000,2573000,2587000,10581000,14836000,74871000
430,Labour-sponsored funds tax credit,$,2011,141295000,1000,4000,54000,477000,1431000,2953000,5485000,8660000,9535000,10882000,11108000,10640000,19310000,17771000,11900000,8651000,16949000,4339000,1147000
431,Alternative minimum tax payable,$,2011,198345000,1335000,92000,50000,56000,354000,91000,110000,139000,116000,165000,185000,456000,492000,1371000,2433000,3251000,21481000,36561000,129605000
432,Net federal tax,$,2011,116488627000,4780000,10278000,90236000,490674000,1148327000,1896171000,2781264000,3565661000,4193741000,4379731000,4603135000,4687664000,9463569000,9137444000,8070727000,6966562000,18661335000,12781751000,23555576000
433,CPP contributions on self-employment,$,2011,1867746000,2918000,54310000,130431000,143045000,143738000,140487000,131440000,127005000,125367000,108243000,92105000,74509000,116336000,83437000,63831000,47687000,128090000,84084000,70682000
434,Employment Insurance premiums payable on self-employment,$,2011,1569000,8000,43000,99000,136000,148000,148000,147000,120000,120000,122000,93000,72000,112000,70000,46000,23000,44000,14000,0
435,Social benefits repayment,$,2011,1303701000,0,0,0,0,0,0,0,0,0,0,0,8358000,62875000,102835000,127923000,122654000,444327000,261837000,172868000
436,Net Provincial Tax,$,2011,49542980000,1285000,3120000,21968000,137687000,446306000,793083000,1109523000,1407473000,1738890000,1803895000,1882586000,1903301000,3803075000,3652381000,3382484000,3006436000,8285139000,5717483000,10446865000
437,Yukon first nations tax,$,2011,5578000,0,0,0,17000,73000,147000,186000,229000,293000,346000,366000,489000,885000,797000,704000,361000,463000,0,0
438,Total tax payable,$,2011,169210201000,8991000,67751000,242736000,771570000,1738592000,2830035000,4022560000,5100488000,6058411000,6292337000,6578298000,6674394000,13446853000,12976965000,11645715000,10143722000,27519399000,18845388000,34245995000
439,Number of taxable returns,$,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,Number of non-taxable returns,$,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Total number of returns,$,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,Employment income,$,2010,685090775000,2089502000,6467282000,11026293000,15247250000,19972851000,24232258000,30117857000,35246180000,37200829000,37146238000,36236998000,34815790000,64221138000,58326466000,49528866000,38942378000,88465324000,43407205000,52400069000
443,Commissions (from employment),$,2010,12683167000,7397000,19299000,45369000,76502000,114442000,155608000,195477000,241228000,285263000,318126000,345198000,354923000,725786000,687800000,639901000,582546000,2208934000,2152616000,3526753000
444,Other employment income,$,2010,10285124000,115605000,292031000,366534000,367790000,428869000,482670000,524789000,500087000,477596000,430123000,384071000,336324000,578967000,464156000,377709000,300340000,985804000,804648000,2067010000
445,Old Age Security pension,$,2010,26248206000,68767000,722301000,2921652000,5974991000,3470857000,2347662000,2102554000,1697044000,1491672000,1029101000,786589000,629481000,1003328000,570383000,354478000,222766000,474767000,229091000,150723000
446,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,$,2010,39013549000,266828000,1186006000,2916097000,6243911000,4882589000,3723453000,3467096000,2971264000,2659912000,1969924000,1552756000,1244668000,1902132000,1120247000,710772000,457100000,968121000,457569000,313104000
447,Other pensions or superannuation,$,2010,70892128000,46513000,119618000,394300000,1446981000,3105546000,4051744000,5252909000,5935504000,6587674000,5925952000,5288821000,4619571000,7584630000,5011328000,3385449000,2282052000,5224655000,2558621000,2070261000
448,Elected split-pension amount,$,2010,10892280000,29468000,127055000,520914000,1075019000,1128721000,1062736000,1329430000,1202761000,1361861000,570158000,353675000,318070000,726780000,397580000,263996000,112228000,224046000,62592000,25190000
449,Universal Child Care Benefit,$,2010,2491651000,604222000,246544000,268739000,217011000,180427000,160896000,145925000,129164000,107945000,87115000,70189000,54717000,77879000,51133000,33055000,19232000,27433000,7903000,2123000
450,Employment Insurance and other benefits,$,2010,19277992000,105645000,525744000,1423949000,2232814000,2739383000,2678596000,2301942000,1809765000,1390338000,1026656000,762846000,564951000,727517000,409032000,226873000,129927000,179804000,34034000,8176000
451,Taxable amount of dividends,$,2010,48524591000,65633000,77342000,155419000,281252000,401641000,548688000,727146000,958985000,1174804000,1173436000,1326230000,1195396000,2586588000,2335823000,2118359000,1774977000,6689197000,6525915000,18407760000
452,Interest and other investment income,$,2010,15505018000,197165000,250956000,433586000,767352000,841064000,776674000,814034000,781426000,798462000,652188000,576773000,523345000,968461000,734353000,597765000,465914000,1394468000,1141612000,2789419000
453,Net partnership income,$,2010,245962000,-28602000,518000,857000,1182000,1194000,2158000,2650000,3107000,4176000,3929000,3964000,4226000,7238000,8354000,7117000,7227000,30100000,46927000,139639000
454,Registered disability savings plan income,$,2010,200000,11000,6000,21000,18000,6000,27000,64000,0,0,0,0,0,0,0,0,0,0,0,0
455,Net rental income,$,2010,4206989000,-138281000,94341000,153069000,183141000,201725000,186081000,175900000,174700000,180417000,151532000,144366000,128616000,237862000,200858000,169247000,147385000,454548000,398116000,963365000
456,Taxable capital gains,$,2010,17533649000,68969000,64899000,104108000,138856000,173395000,197314000,220636000,243257000,283189000,280363000,281358000,289357000,614041000,572410000,553468000,495109000,1914628000,2282310000,8755983000
457,Support payments received,$,2010,1070811000,6765000,24716000,49492000,68405000,78672000,73120000,71864000,67635000,60605000,57993000,49688000,42419000,80262000,58678000,44131000,36568000,108366000,56157000,35273000
458,Registered Retirement Savings Plan income,$,2010,12616730000,105112000,185805000,352284000,477698000,600187000,659815000,742222000,790157000,814462000,716232000,658702000,608485000,1083969000,827668000,641399000,487770000,1305861000,771426000,787476000
459,Other income,$,2010,19104477000,268283000,622598000,802391000,750993000,718642000,682311000,696625000,727109000,751115000,652475000,584119000,538198000,965001000,853538000,726287000,617663000,2123486000,1960252000,4063390000
460,Net business income,$,2010,24705346000,-588030000,1133219000,2100091000,2070121000,1932418000,1715997000,1503550000,1353020000,1248925000,1057973000,937691000,833681000,1409209000,1123254000,909559000,723872000,2030372000,1345907000,1864518000
461,Net professional income,$,2010,19739045000,-24079000,85538000,161996000,178195000,184208000,187093000,188379000,188444000,204758000,205181000,206994000,207713000,423040000,428981000,437902000,435666000,2152635000,3877287000,10009112000
462,Net commission income,$,2010,4012261000,-13324000,69402000,126167000,137932000,146033000,149123000,149052000,151769000,158066000,151215000,144293000,133767000,265664000,237148000,218330000,194530000,653763000,526918000,412411000
463,Net farming income,$,2010,1630264000,-361412000,24924000,114381000,89160000,98851000,98832000,116663000,109520000,154588000,95179000,89272000,74903000,140222000,104061000,84736000,66688000,205789000,147329000,176577000
464,Net fishing income,$,2010,379856000,-4986000,1120000,5344000,14478000,25376000,31351000,32657000,33150000,34953000,26446000,24813000,22231000,32365000,23272000,17334000,10373000,27067000,13678000,8834000
465,Workers' compensation benefits,$,2010,5359358000,18923000,61803000,183501000,365503000,556678000,624839000,616990000,565550000,483953000,410253000,299837000,231066000,316928000,186199000,118867000,76599000,149591000,63972000,28307000
466,Social assistance payments,$,2010,10562872000,300972000,2777720000,4613984000,1545474000,768211000,270429000,118167000,64469000,35572000,22212000,13300000,7978000,9282000,4914000,2851000,1655000,3572000,1270000,840000
467,Net federal supplements,$,2010,8255327000,65440000,393689000,2918007000,3851284000,652441000,189438000,80699000,41414000,20741000,11370000,7059000,4663000,6714000,3307000,1934000,1561000,2961000,1528000,1076000
468,Total income assessed,$,2010,1070327627000,3272505000,15574478000,32158546000,43803313000,43404428000,45288914000,51695275000,55986722000,57971902000,54171371000,51129604000,47784539000,86695008000,74740943000,62170386000,48592127000,118005296000,68874880000,109007390000
469,Registered pension plan contributions,$,2010,15767153000,7184000,10766000,26134000,51663000,100406000,181056000,338979000,548659000,707817000,828452000,914093000,989447000,1985698000,2056556000,1953723000,1559055000,2499961000,722210000,285293000
470,RRSP deduction,$,2010,32028073000,30395000,43328000,104188000,230551000,396507000,582364000,816162000,1067218000,1276272000,1424475000,1483952000,1466396000,2859170000,2726853000,2473572000,2146814000,6439620000,3874851000,2585387000
471,Saskatchewan Pension Plan deduction,$,2010,1046000,27000,43000,64000,72000,86000,91000,86000,84000,73000,66000,61000,51000,65000,54000,40000,23000,39000,15000,0
472,Deduction for elected split-pension amount,$,2010,10889895000,639000,2327000,6551000,28146000,156794000,363222000,535277000,685621000,821734000,939700000,954301000,887391000,1415179000,966538000,670373000,498510000,1205242000,509487000,242863000
473,"Annual union, professional, or like dues",$,2010,3720556000,14070000,28242000,42285000,54741000,75035000,105334000,151757000,204305000,229464000,246165000,254112000,259468000,486632000,451684000,367227000,255561000,379575000,89000000,25898000
474,Universal Child Care Benefit repayment,$,2010,7985000,2394000,1064000,1174000,757000,474000,399000,333000,290000,205000,160000,128000,102000,147000,114000,99000,59000,68000,10000,0
475,Child care expenses,$,2010,4190061000,30642000,79462000,142156000,202627000,263484000,308623000,350093000,360455000,340035000,306292000,270904000,230740000,368604000,277166000,201262000,133083000,217871000,76884000,29677000
476,Disability supports deductions,$,2010,7016000,27000,95000,163000,430000,384000,423000,314000,298000,277000,262000,302000,157000,381000,415000,179000,258000,974000,337000,1340000
477,Business investment loss,$,2010,326993000,11125000,4841000,6903000,7335000,9367000,10204000,11399000,11651000,12652000,10221000,13347000,9911000,19355000,16987000,16382000,14792000,39050000,38986000,62486000
478,Moving expenses,$,2010,432579000,3491000,6256000,9602000,12683000,15674000,17938000,19431000,20240000,21224000,21162000,20809000,22428000,41841000,37766000,32603000,26589000,63067000,27718000,12056000
479,Support payments made,$,2010,1039676000,2891000,1904000,3023000,5066000,8179000,11934000,15339000,19098000,21970000,23041000,25667000,25052000,53257000,54444000,52543000,51782000,186238000,176811000,301436000
480,Carrying charges and interest expenses,$,2010,4367538000,36806000,28670000,43546000,66821000,88743000,98394000,112367000,122138000,135355000,134566000,135576000,129320000,252153000,238427000,212982000,182269000,592118000,523500000,1233787000
481,Deductions for CPP or QPP contributions on self-employment and other earnings,$,2010,1204478000,2300000,34328000,86159000,97003000,97705000,92081000,84870000,79559000,77709000,66586000,55302000,45049000,69416000,50707000,38697000,29751000,82767000,61616000,52872000
482,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,$,2010,29664000,225000,1113000,2451000,2597000,2317000,1932000,1600000,1399000,1342000,1154000,1085000,974000,1661000,1247000,980000,784000,2437000,2296000,2068000
483,Exploration and development expenses,$,2010,1652223000,1410000,903000,941000,1501000,2357000,2589000,4173000,4712000,5942000,7674000,9019000,10071000,24205000,26834000,29280000,32650000,146166000,214371000,1127425000
484,Other employment expenses,$,2010,4144563000,10268000,10955000,22479000,44679000,72938000,99439000,132824000,155182000,178074000,199745000,212264000,211726000,399058000,335421000,283845000,240811000,704478000,446054000,384323000
485,Clergy residence deduction,$,2010,355100000,130000,568000,1738000,3170000,6513000,11544000,18053000,20434000,25260000,28905000,32631000,33747000,61565000,42560000,24355000,15614000,22357000,4983000,945000
486,Other deductions,$,2010,1936964000,26635000,19192000,32613000,48030000,53822000,56515000,57579000,57644000,53383000,49131000,44677000,41376000,77821000,66977000,61913000,56496000,219589000,280149000,633424000
487,Total deductions before adjustments,$,2010,82101564000,180692000,274057000,532169000,857873000,1350786000,1944081000,2650635000,3358989000,3908788000,4287756000,4428231000,4363407000,8116208000,7350749000,6420055000,5244903000,12801618000,7049277000,6981291000
488,Social benefits repayment,$,2010,1208671000,0,0,0,0,0,0,0,0,0,1000,389000,14929000,71924000,105324000,122104000,113178000,396299000,231801000,152708000
489,Net income after adjustments,$,2010,988248390000,4148022000,15314070000,31637162000,42955217000,42063974000,43351623000,49055470000,52635382000,54069252000,49887709000,46708000000,43409432000,78515312000,67290539000,55636088000,43239612000,104821580000,61608088000,101901857000
490,Canadian Forces personnel and police deduction,$,2010,289747000,5000,23000,50000,35000,171000,640000,1032000,1980000,4844000,14674000,13408000,42396000,70925000,47418000,28766000,19197000,38506000,4768000,911000
491,Employee home relocation loan deduction,$,2010,361000,0,0,0,0,0,0,0,1000,0,0,3000,4000,12000,11000,21000,17000,94000,149000,45000
492,Security options deductions,$,2010,2473133000,237000,201000,399000,336000,498000,606000,781000,1159000,1568000,1655000,2043000,2637000,5522000,7352000,7621000,8832000,66333000,154304000,2211038000
