Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,item_e,item_f,prove,provf,code1,code2,taxyr
2570,32631,2380,33747,3860,61565,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
35540,44677,28950,41376,43880,77821,Other deductions,Autres déductions,,,C,48,2010
803860,4428231,707570,4363407,1160740,8116208,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
2590,389,25940,14929,82510,71924,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
975140,46708000,832100,43409432,1338740,78515312,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
950,13408,2120,42396,3880,70925,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
20,3,30,4,60,12,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
970,2043,1090,2637,2200,5522,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
35990,320195,28070,243746,37770,332918,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
40,168,60,189,110,371,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
1020,10982,830,9411,1240,15070,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
27170,48166,25330,48415,47170,97438,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
2260,31125,2180,35881,4570,101643,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
11420,38138,10860,37662,20170,72773,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
5760,31476,4660,26358,7330,42600,Additional deductions,Déductions supplémentaires,,,E,61,2010
620,5667,490,4664,820,7766,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
83080,501369,72870,451361,120490,747039,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
974730,46207964,831780,42958813,1338280,77769990,Taxable income assessed,Revenu imposable établi,,,E,64,2010
974680,10113140,831740,8630223,1338160,13885606,Basic personal amount,Montant personnel de base,,,F,65,2010
140340,600995,112450,411660,178590,467317,Age amount,Montant en raison de l'âge,,,F,66,2010
75960,532721,67440,474471,114960,817445,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
35090,340904,29090,281483,44650,431367,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
180010,637582,163070,580839,285680,1027849,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
720,2447,660,2218,1010,3415,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
744410,1504860,651150,1336938,1061310,2205020,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
42370,55302,32090,45049,46620,69416,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
731440,485100,641960,431608,1038750,707569,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
110,64,90,58,130,81,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
183120,43141,155290,40231,240630,68714,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
6780,1417,6470,1507,10170,2591,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
12140,1402,10190,1260,14510,2147,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
820660,837912,713160,730644,1155800,1188407,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
70460,64658,62030,57795,97440,91434,Public transit amount,Montant pour le transport en commun,,,F,79,2010
87060,42432,82440,41101,153120,79350,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
15160,69228,13240,61047,20820,96774,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
170,1056,150,1118,310,2279,Adoption expenses,Frais d'adoption,,,F,82,2010
202590,399237,163830,322794,253260,499018,Pension income amount,Montant pour revenu de pension,,,F,83,2010
11380,49850,10120,44527,15760,69784,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
16330,118176,12380,89608,17780,128730,Disability amount,Montant pour personnes handicapées,,,F,85,2010
11630,111756,10420,99942,17460,169269,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
42440,22481,35940,19587,56010,32002,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
63950,318814,52870,273001,80180,384827,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
39240,185069,37360,177727,68890,332884,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
24610,107689,20260,89173,31760,137473,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
162250,445685,123600,354894,173160,541931,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
974850,2563968,831880,2190075,1338390,3516405,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
356240,346682,321800,327828,552900,626104,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
340,823,330,909,520,1768,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
353600,93673,319760,88763,549860,170578,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
974890,2657641,831890,2278838,1338420,3686983,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
199640,185954,178390,172260,319520,375249,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
210,690,190,793,440,2139,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
1490,4108,1460,3922,2990,8024,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
953120,4584039,818940,4645747,1323120,9234416,Basic federal tax,impôt fédéral de base,,,H,100,2010
56790,10963,52310,11725,97020,26834,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
8220,1118,7670,1071,14230,2087,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
1420,1308,1380,1242,2630,2566,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
24910,10666,23650,10521,39500,18683,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
90,150,110,209,470,681,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
951570,4561174,817600,4622317,1320930,9186386,Net federal tax,Impôt fédéral net,,,H,106,2010
33390,88428,25300,71887,36370,109626,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
110,64,90,58,130,81,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
2590,389,25940,14929,82510,71924,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
728740,1875416,630970,1882258,1035340,3708984,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
965370,6525841,826030,6591838,1331490,13077886,Total tax payable,Total à payer,,,I,111,2010
70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,item_e,item_f,prove,provf,code1,code2,taxyr
997390,0,731890,0,512790,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
3360,0,1680,0,1070,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
1000750,0,733570,0,513860,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
870840,58326466,649670,49528866,459300,38942378,Employment income,Revenus d'emploi,,,B,4,2010
25940,687800,20170,639901,16020,582546,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
153580,464156,110510,377709,79180,300340,Other employment income,Autres revenus d'emploi,,,B,6,2010
94070,570383,59020,354478,37680,222766,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
147200,1120247,93430,710772,59980,457100,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
138750,5011328,89080,3385449,57670,2282052,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
29910,397580,20700,263996,11440,112228,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
34560,51133,22200,33055,12940,19232,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
76710,409032,43580,226873,24950,129927,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
251850,2335823,200860,2118359,153860,1774977,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
319700,734353,246460,597765,182600,465914,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
12430,8354,10890,7117,9240,7227,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
0,0,0,0,0,0,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
80310,200858,63510,169247,46580,147385,Net rental income,Revenus nets de location,,,B,17,2010
115700,572410,93970,553468,73970,495109,Taxable capital gains,Gains en capital imposables,,,B,18,2010
2630,58678,1800,44131,1220,36568,Support payments received,Pension alimentaire reçue,,,B,19,2010
138980,827668,99900,641399,68230,487770,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
220680,853538,171680,726287,127580,617663,Other income,Autres revenus,,,B,21,2010
61980,1123254,45950,909559,32360,723872,Net business income,Revenus nets d'entreprise,,,B,22,2010
15510,428981,13090,437902,10850,435666,Net professional income,Revenus nets de profession libérale,,,B,23,2010
7950,237148,6160,218330,4550,194530,Net commission income,Revenus nets de commissions,,,B,24,2010
14890,104061,11250,84736,8020,66688,Net farming income,Revenus nets d'agriculture,,,B,25,2010
710,23272,470,17334,270,10373,Net fishing income,Revenus nets de pêche,,,B,26,2010
20520,186199,13270,118867,8070,76599,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
1150,4914,690,2851,420,1655,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
1190,3307,710,1934,520,1561,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
1000750,74740943,733570,62170386,513860,48592127,Total income assessed,Revenu total établi,,,B,30,2010
463010,2056556,358510,1953723,252830,1559055,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
527980,2726853,416060,2473572,309520,2146814,RRSP deduction,Cotisations à un REER,,,C,32,2010
100,54,80,40,40,23,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
66160,966538,43300,670373,29740,498510,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
458910,451684,344860,367227,233430,255561,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
160,114,110,99,70,59,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
59540,277166,40350,201262,25830,133083,Child care expenses,Frais de garde d'enfants,,,C,37,2010
50,415,30,179,40,258,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
790,16987,690,16382,520,14792,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
5420,37766,4050,32603,2950,26589,Moving expenses,Frais de déménagement,,,C,40,2010
6220,54444,5400,52543,4670,51782,Support payments made,Pension alimentaire payée,,,C,41,2010
163190,238427,132560,212982,102210,182269,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
32080,50707,23510,38697,17530,29751,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
8490,1247,5970,980,4480,784,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
4630,26834,4420,29280,4040,32650,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
68730,335421,55680,283845,44600,240811,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
2410,42560,1320,24355,800,15614,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
30240,66977,21560,61913,15200,56496,Other deductions,Autres déductions,,,C,48,2010
900710,7350749,672370,6420055,476320,5244903,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
95290,105324,67210,122104,45070,113178,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
1000630,67290539,733460,55636088,513780,43239612,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
2210,47418,1220,28766,760,19197,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
60,11,110,21,120,17,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
2300,7352,2220,7621,2190,8832,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
22580,194363,14490,123566,8850,79636,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
90,299,100,562,100,407,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
870,12903,520,8845,400,7133,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
38590,90212,31720,81651,25310,72381,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
3530,90902,3090,94991,2600,87907,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
18260,68456,16100,63635,13720,57821,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
4720,35120,3150,25685,2220,21527,Additional deductions,Déductions supplémentaires,,,E,61,2010
660,6635,490,5296,410,5204,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
90280,553672,70370,440639,54360,360061,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
1000310,66737994,733250,55196884,513640,42880709,Taxable income assessed,Revenu imposable établi,,,E,64,2010
1000100,10378083,733050,7606922,513410,5327207,Basic personal amount,Montant personnel de base,,,F,65,2010
93000,159526,30320,53253,13390,21149,Age amount,Montant en raison de l'âge,,,F,66,2010
94410,682496,75690,551817,57450,423605,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
33330,321712,23790,229973,15340,147835,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
242240,883213,194610,716613,144980,541384,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
830,2777,630,2044,450,1499,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
833410,1748402,625300,1318015,443130,936514,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
32080,50707,23510,38697,17530,29751,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
809750,560175,602000,423273,423820,299790,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
70,45,60,36,40,23,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
175670,52203,106920,31907,70870,21288,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
7730,2085,5810,1611,4460,1260,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
8590,1613,6010,1267,4500,1013,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
893430,923760,664150,688808,468890,486895,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
75570,71940,56470,54783,41160,40740,Public transit amount,Montant pour le transport en commun,,,F,79,2010
141050,77620,120780,70186,93700,57167,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
13570,63844,8240,38906,5260,24865,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
260,1841,220,1570,180,1250,Adoption expenses,Frais d'adoption,,,F,82,2010
156440,307579,102470,200975,66790,130566,Pension income amount,Montant pour revenu de pension,,,F,83,2010
12040,54430,9480,43756,6750,31016,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
10240,74107,6620,47912,4200,30399,Disability amount,Montant pour personnes handicapées,,,F,85,2010
14060,137962,11110,109602,8110,79830,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
36260,19636,21660,11115,11930,6011,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
55400,220685,38420,143929,24660,96790,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
66420,328734,57390,290556,46850,243442,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
23270,97396,17280,70988,12310,50063,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
104270,343628,64570,233374,44280,165612,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
1000300,2634930,733200,1947283,513550,1379545,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
450000,537172,357420,472616,268430,381150,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
450,1729,320,2033,210,1393,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
448180,146937,356200,129125,267650,104945,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
1000320,2781867,733220,2076408,513560,1484490,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
253780,340523,202080,308706,154690,258491,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
510,3044,540,3553,530,3903,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
2400,5938,2090,5068,1690,4255,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
993250,8698552,729700,7670662,511580,6305007,Basic federal tax,impôt fédéral de base,,,H,100,2010
79410,28916,65330,29159,52010,27486,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
11070,1686,9080,1411,6890,1137,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
2480,2470,2320,2416,2230,2424,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
31750,15954,20300,10926,13760,7741,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
1750,1227,2910,2408,2860,3214,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
991660,8651854,728460,7628962,510660,6268424,Net federal tax,Impôt fédéral net,,,H,106,2010
24940,79353,18210,60018,13420,45620,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
70,45,60,36,40,23,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
95290,105324,67210,122104,45070,113178,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
788560,3501289,603000,3229017,426830,2721592,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
997390,12338507,731890,11040725,512790,9149216,Total tax payable,Total à payer,,,I,111,2010
100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over/et plus #,250000 and over/et plus $,item_e,item_f,prove,provf,code1,code2,taxyr
991840,0,370400,0,193130,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
2340,0,1200,0,440,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
994180,0,371600,0,193570,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
868100,88465324,303020,43407205,145910,52400069,Employment income,Revenus d'emploi,,,B,4,2010
44060,2208934,23490,2152616,12530,3526753,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
176300,985804,70440,804648,35910,2067010,Other employment income,Autres revenus d'emploi,,,B,6,2010
83330,474767,43110,229091,31120,150723,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
124990,968121,57340,457569,37730,313104,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
122850,5224655,51410,2558621,27960,2070261,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
20170,224046,7090,62592,3550,25190,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
18000,27433,4960,7903,1340,2123,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
35980,179804,5980,34034,1220,8176,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
377250,6689197,196730,6525915,134490,18407760,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
409830,1394468,198120,1141612,138490,2789419,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
29100,30100,23510,46927,29330,139639,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
0,0,0,0,0,0,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
105500,454548,49020,398116,30680,963365,Net rental income,Revenus nets de location,,,B,17,2010
189860,1914628,108260,2282310,85170,8755983,Taxable capital gains,Gains en capital imposables,,,B,18,2010
2280,108366,700,56157,230,35273,Support payments received,Pension alimentaire reçue,,,B,19,2010
125180,1305861,39350,771426,14030,787476,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
290570,2123486,142900,1960252,98550,4063390,Other income,Autres revenus,,,B,21,2010
66980,2030372,26920,1345907,15340,1864518,Net business income,Revenus nets d'entreprise,,,B,22,2010
35360,2152635,31030,3877287,29650,10009112,Net professional income,Revenus nets de profession libérale,,,B,23,2010
10870,653763,5270,526918,2240,412411,Net commission income,Revenus nets de commissions,,,B,24,2010
18860,205789,8650,147329,5720,176577,Net farming income,Revenus nets d'agriculture,,,B,25,2010
560,27067,180,13678,70,8834,Net fishing income,Revenus nets de pêche,,,B,26,2010
11420,149591,2220,63972,620,28307,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
760,3572,260,1270,150,840,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
1060,2961,560,1528,340,1076,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
994180,118005296,371600,68874880,193570,109007390,Total income assessed,Revenu total établi,,,B,30,2010
391980,2499961,99140,722210,30140,285293,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
644450,6439620,249310,3874851,127720,2585387,RRSP deduction,Cotisations à un REER,,,C,32,2010
70,39,30,15,0,0,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
62600,1205242,24740,509487,11490,242863,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
347410,379575,81610,89000,25620,25898,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
80,68,20,10,0,0,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
40500,217871,12770,76884,4740,29677,Child care expenses,Frais de garde d'enfants,,,C,37,2010
80,974,20,337,30,1340,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
1320,39050,760,38986,530,62486,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
5860,63067,1910,27718,590,12056,Moving expenses,Frais de déménagement,,,C,40,2010
12280,186238,6880,176811,5460,301436,Support payments made,Pension alimentaire payée,,,C,41,2010
252610,592118,133060,523500,101030,1233787,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
46610,82767,32290,61616,26860,52872,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
12530,2437,10470,2296,9190,2068,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
14590,146166,14020,214371,20950,1127425,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
105740,704478,45210,446054,21890,384323,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
1090,22357,180,4983,40,945,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
33820,219589,18090,280149,15080,633424,Other deductions,Autres déductions,,,C,48,2010
919100,12801618,342840,7049277,177760,6981291,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
97350,396299,41990,231801,26880,152708,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
993980,104821580,371450,61608088,193490,101901857,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
1360,38506,180,4768,40,911,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
480,94,400,149,210,45,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
10110,66333,11130,154304,13930,2211038,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
12660,154909,2540,65454,800,29296,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
330,1396,280,1585,410,12288,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
910,23813,500,21147,410,75456,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
68860,261280,40850,255277,33210,593442,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
8090,398174,7360,669202,9550,1998790,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
34710,152370,16700,65186,2740,10195,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
5040,85429,2630,84683,1510,104394,Additional deductions,Déductions supplémentaires,,,E,61,2010
940,13498,470,10992,320,15436,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
136450,1195803,76490,1332748,55980,5051291,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
993500,103629863,371170,60280857,193370,96852386,Taxable income assessed,Revenu imposable établi,,,E,64,2010
992890,10299737,370510,3840701,192500,1993471,Basic personal amount,Montant personnel de base,,,F,65,2010
10940,18613,1290,4761,620,2148,Age amount,Montant en raison de l'âge,,,F,66,2010
128470,968940,54110,422578,28670,231161,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
24500,234774,7370,70225,3000,28817,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
291990,1102077,114930,444662,61980,250402,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
960,3395,360,1293,190,673,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
